,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
SPAC1002.02,-0.9402115429429052,0.48476797794601395,1.4351869690057286,1.9148258706471606,0.25405187273254126,-0.47418180018049255,-0.6005087367256507,-0.4975799122857114,-0.7025759809244357,-0.8737747172722473
SPAC1002.03c,0.018881182602089798,-1.3048825245245332,-1.1801710180711056,-0.9734833396830659,-0.43326722462335615,1.4260894073529458,1.3241625753936246,-0.018152148308405048,0.16388634266219207,0.9769367471996158
SPAC1002.04c,-1.0051030308215532,-0.9928222705522687,-0.9083864941062303,-0.16684339243879995,1.0087686945438235,2.229733526522698,0.22998408408161647,-0.008417933803107435,-0.0632091894975058,-0.3237039939286675
SPAC1002.07c,-0.5907524756497774,0.3135408815608951,0.6878063077120279,1.0539659075618442,1.2118124377258566,1.260960713013748,-0.9238248453408101,-0.8872835568128481,-0.995551393108573,-1.1306739766623668
SPAC1002.09c,0.33316898561818287,0.26640261100535934,1.9149724538567883,1.3731420115561723,0.10445270616563687,-0.5758244920672526,-0.8069620479355817,-0.9075240098082799,-0.8529342339621944,-0.8488939844288332
SPAC1002.12c,1.5603637072786434,-1.1321227258743332,0.3261660522430801,0.9653299508418203,1.2252696611208156,-0.13120282669015956,-0.8827741008323131,-1.248652144596018,-0.6200931028087985,-0.06228447068274156
SPAC1002.13c,-0.32996988587585346,2.0741393912106942,1.3532844560853237,0.10335955060146876,0.04248011096445464,-1.08758454601321,-0.9657694243345718,-0.7100845861717534,-0.3116833587847785,-0.16817170768177278
SPAC1002.15c,-0.9818270096848674,-0.4219413581450615,0.11344336055406945,0.3203165359102785,-0.24071018662096205,2.281717693471951,0.7349733398194074,0.14350106239021915,-1.067823775334692,-0.8816496623603404
SPAC1002.17c,0.22465391715014355,-1.0180442085081916,-0.9642255838542999,-0.857692691294064,-0.5641235920534492,1.7596793064919627,1.1442560022059345,1.0448583550666073,-0.12388116922065529,-0.6454803359839885
SPAC1006.04c,-0.769638887191889,-0.5332478371788822,-0.1786304724557297,0.3603885374128374,0.5372181778427447,2.5721784008964454,-0.37156254896491314,-0.395918743269415,-0.5186368049830103,-0.7021498221081872
SPAC1006.05c,-0.4459170863201833,-0.9376329597930207,-0.8249004857832212,-0.7154199926925303,-0.3934927231130844,2.4513765150311064,0.7207389921975069,0.09748461677209934,0.15715545742849682,-0.10939233372717086
SPAC1006.06,-0.5676263598258394,-0.6420320296255744,-0.5866524951257573,-0.3661181819672999,0.11547177499444075,2.7393120540616493,0.12498851128113685,-0.15932685210970324,-0.24923579814186525,-0.4087806235411869
SPAC1006.09,2.6157615349838346,-1.1398112809251504,-0.29919755937867537,0.1106057479618932,-0.05440824632520629,-0.020696095304804117,-0.09689153786507372,-0.7385466235741643,-0.4410403389165471,0.06422439934389704
SPAC1039.02,2.8371076183729764,-0.26526962562552253,-0.17825869355640003,-0.2476253582743073,-0.3554430096407615,-0.46467089754584784,-0.3900565409507131,-0.33845738793557956,-0.2975710078982226,-0.29975509694562213
SPAC1039.06,2.5996658537261093,-1.021587047704495,-0.5992364505206754,-0.6283757201351136,-0.4090128730568753,-0.2615520427011029,0.4410925750470261,0.014219823861276027,-0.11530239552014611,-0.01991172299599665
SPAC1039.10,0.7650638687159003,-1.1915158153063903,-1.0720335214996897,-0.9301254541748227,-0.7726496017726338,0.870032730586784,1.8248957560834957,0.48220974362965396,0.1903475002095427,-0.16622520647183792
SPAC1039.11c,-0.7101144231360939,-0.7184956066487248,-0.641884836943142,-0.5607409619786081,-0.45412569336560676,1.1346717188371183,2.3646324333543465,0.1028805600471431,-0.14950593732163933,-0.36731725284479305
SPAC105.02c,-0.5743400644799533,-0.6889489031265845,-0.48102001826910445,-0.18144999755123867,0.34929068126697477,2.6193824250561173,0.4115822211991182,-0.29174224829689305,-0.48784025562599137,-0.6749138401724429
SPAC105.03c,2.7157918048034753,-0.6174725653554145,-0.6726569705861205,-0.603953517761464,0.15107189211504737,-0.03567127366356973,0.04634749090035658,-0.49210817249543815,-0.38141266948216823,-0.1099360184747019
SPAC1071.01c,-0.9276105613997716,-0.8135141223168946,-0.47199404646175896,-0.41059901700321383,-0.4251009118085121,-1.3547313032801551,1.0000872382362134,0.7616706808789614,1.3368096536456846,1.3049823895094501
SPAC1071.02,1.7462504966596597,-0.0905101378713371,-0.9796103471186246,-1.1711434492606503,-0.5068043101638863,-0.425394120587438,-0.42330140923292287,-0.2590166923612377,0.46228677301060145,1.647243196925838
