,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
SPAC1002.02,-1.1537641647185697,-0.9607053470190187,-0.04597330275061981,1.0997244466584644,1.7576184769679013,1.044606022797012,0.10982774145597729,-0.30662188007337593,-0.606834169472004,-0.9378778238457682
SPAC1002.03c,2.1099919537738523,0.9825350406082628,-0.5757153900023142,-1.0225931932791474,-1.0773326012549784,-0.7731271293902274,-0.3987768005366298,0.14873384965669256,0.5057596380003337,0.10052463242413891
SPAC1002.04c,0.2228094356919494,0.17043404505718493,0.11919131390283379,0.49080217229629025,1.5378680395820923,1.3756773438084278,-0.41058267745662563,-1.3411813378612025,-1.3035192091743095,-0.8614991258466407
SPAC1002.07c,-1.6125106281590147,-1.5036875068932256,-0.899492185258489,-0.12513850752793979,0.8724424542256211,0.9994461886747004,0.8902436291914848,0.7032423724541123,0.4768965345813878,0.19855764871136028
SPAC1002.09c,1.3286363007454567,-0.5076508224987846,-1.467836822953034,-1.1374364056371016,-0.5230353717108185,-0.1485586265739116,0.01640947356548124,0.16562918440469826,0.580059559076485,1.6937835315815186
SPAC1002.12c,-0.32369853326098946,-1.0758276775452913,-1.3318302754710898,-0.9785974348325793,0.026372728572421417,0.2012890779105177,0.1541803299772804,0.4860318311481908,0.8437754421209809,1.9983045113805458
SPAC1002.13c,-0.4993196161529635,1.9706373123783496,1.391083777983885,0.5415542061842634,-0.45266235566036095,-0.7097583558712012,-0.4315240141368478,-0.6036962969825499,-0.03221354183494041,-1.174101115907636
SPAC1002.15c,-1.5306937020076434,-1.3372220718093437,-0.6632577464279011,0.1801839281188892,1.1889886352888266,1.3634767199865148,1.0244104404260301,0.10559140300393863,-0.10182832806862109,-0.2296492785106827
SPAC1002.17c,2.1366022954893835,1.1341960399665498,0.5339054618597343,0.07289697813239274,-0.21732291471217316,-0.48730076707753156,-0.6503758042674428,-0.7324886558326397,-0.8186045763040037,-0.9715080572542723
SPAC1006.04c,-1.2337711790191135,-1.1527507274894522,-0.833264577895185,0.07083958701634399,1.4380464224249738,1.7765371352228203,0.3414224934208021,0.03213302386265824,-0.14370836344107554,-0.2954838141027706
SPAC1006.05c,1.1326597124118962,-0.1467144525623858,-0.6698971886022401,-0.634387233764822,0.0003546404150842291,0.4216901369510709,-0.6763505240363902,-1.2131372876038848,-0.3606765314366075,2.1464587282282794
SPAC1006.06,-0.9770450591844837,-0.7207483859287012,-0.8297849532353351,-0.5106143127423712,0.3933413412526496,2.007795631319345,1.390025182762547,0.16652095933459757,-0.3963282329253576,-0.5231621706528914
SPAC1006.09,1.7905038178463921,1.0025465809999252,0.2646020414274684,0.31664973858522,0.3167407785892302,0.17048379999574018,-0.4248124367205156,-0.6591048720234665,-1.2969251194976283,-1.4806843292023633
SPAC1039.02,2.3145523184575247,1.096988463653333,0.3638091480137313,-0.3223160399229776,-0.7450687595595331,-0.6928565298793343,-0.5682638049921938,-0.38556172612041567,-0.27247584304931316,-0.7888072266008221
SPAC1039.06,2.068579821563553,1.4463958542239639,0.4155380530648534,-0.12590630107565073,-0.5268897984195756,-0.7232003908995791,-0.6180091759072575,-0.5770516514119438,-0.6994234161164624,-0.6600329950218997
SPAC1039.10,2.1302831629865753,1.4014193397743087,0.3659378457892334,-0.19205796521108498,-0.4767006928322201,-0.742849218799709,-0.5971486037282707,-0.6034651087861107,-0.6187833215907754,-0.666635437601949
SPAC1039.11c,-0.9252652541855764,-0.9159650731737958,-0.8911247982613245,-0.8651043556504484,-0.7811409017000798,0.06135115220541818,1.5992723304695131,1.196801070976108,0.7337045801730078,0.7874712491471786
SPAC105.02c,-1.0941260699393065,-1.2336824932567476,-1.0944317233519036,-0.7870965955569418,-0.26561443809892293,0.3708782888867395,0.904027861900392,1.1749830268145396,1.0726236544782726,0.9524384881238784
SPAC105.03c,1.2658756387662935,-0.23855466730952404,-0.3700100549497516,0.9995048923579356,1.3073697310982457,0.45396179072444487,-1.0970241007740624,-1.4552237887446022,-0.9776547196097202,0.1117552784407308
SPAC1071.01c,2.0980566336572424,0.4524851946169813,-0.062305834505874895,0.09121918018946659,0.10817944479528052,0.7832192883820202,-0.6718126912492538,-1.3457720467011136,-1.1944203132889535,-0.2588488558957852
SPAC1071.02,1.1866921052457433,1.9081618584087154,0.7097849827333026,-0.07232020622537205,-0.1165208150306235,-0.8914654555526341,-1.1744625370046886,-1.0127612890228477,-0.47358718484990686,-0.06352145870169508
SPAC1071.04c,-0.6124986679971058,-1.4162239316729288,-1.3485790696048288,-0.4821931150237094,0.9649781881849422,0.6090748004549182,1.3234946698690535,0.9965515039090802,0.49283145082130714,-0.527435828940715
SPAC1071.05,-0.45767151547711155,-1.2811992476346974,-0.6185373261826046,-0.7309979842853566,1.368419214236941,1.8182153154117144,0.6364669917368672,0.033459124507493644,0.035684698612084946,-0.803839270925353
SPAC1071.06,-0.25480169644994055,-0.30388208243142634,0.25168750974600707,1.8279898307201567,1.5663455511204094,-0.09425651476666756,-1.0844547611445865,-1.1907486368094518,-0.6078531971262148,-0.11002600285828071
SPAC1071.07c,0.37442935266197136,0.4693102154997689,1.9957397359805875,1.162809703583923,-0.07957106006975745,-0.7581559454390908,-0.5855787661482382,-0.6009721819293004,-0.8115496595981841,-1.1664613945416915
SPAC1071.08,-0.9669995876028046,0.13989640369922535,2.158702900174326,0.818436986181343,-0.8166801972279268,-0.38315504185960964,0.06467094063534304,0.2360552523156898,0.10234615329840396,-1.3532738096140164
SPAC1071.10c,1.9842588201724491,1.3214205979917024,0.4363470169021957,-0.29955498745684117,-0.8390769785038169,-1.147521783256501,-0.9482660438624972,-0.2007051452968825,-0.03305369777554698,-0.2738477989142728
SPAC1071.12c,-0.1818049474791716,0.5556366678525438,0.8728684848793914,1.3943639088419504,1.018304570969088,-0.12551529280518084,-0.17913904666145894,-0.5092818873651015,-0.893724410544378,-1.9517080476876731
SPAC1093.02,1.9470112720016275,1.5214359987057489,0.5212833550138025,-0.10228914713043843,-0.5956904924023922,-0.8066529727893812,-0.7977931760031916,-0.6566745524395063,-0.45266847527321663,-0.5779618096830542
SPAC1093.04c,-1.7110532091433772,-1.392207423080095,-0.9323711235745561,-0.2561292056579595,0.5367678467976243,0.5313567059654878,0.7361574270763198,0.7024292327238376,0.8841056473940615,0.9009441014986559
SPAC1093.05,-0.2627303732427612,1.610700154977184,1.3811661945839044,0.7319921949827756,0.3237867792987202,0.057426448437866276,-0.7513731512331129,-0.9012658209976138,-1.0213345341679514,-1.1683678926390173
SPAC1093.06c,-1.399511073827027,-0.5368176757931438,0.7219662596820695,2.3401072916726933,-0.4446188746132708,-0.10952025965299036,-0.10249897829424082,-0.05439960122350152,-0.6799639268663418,0.2652568389157547
SPAC10F6.01c,1.7498345175616168,1.517593866315166,0.8671054802461112,-0.07254214845590796,-0.5957337245429537,-0.852075749105299,-0.8966858486999276,-0.6095874714082673,-0.6153893937898046,-0.49251952812072014
SPAC10F6.02c,-0.034781720086928536,-0.08692399213894256,1.7349170601963138,1.4806649298745593,0.34495848319203176,-0.11524429076264021,-1.4095785706902113,-0.9957394740829423,-0.8173470714806697,-0.10092535402057479
