,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1002.01,0.559502173117165,0.7973652365776127,0.714319868658475,0.9086475896880137,0.9799129742863393,1.14992207780609,1.088235170026139,1.056883232583457,1.1761790370425433,1.2170796782356101,0.68448466,1.1991861000000001,1.4245613000000001,1.597397,1.1957544,1.1728816,0.93315524,0.8196594000000001,0.7518744,0.68385667
SPAC1002.02,0.2948176870108463,0.409764415354621,0.9657340114442912,1.7134900508202733,2.12649652185628,1.7146066735083467,1.1036185796109155,0.8445865906496873,0.6300462839364266,0.4234920905261417,1.0353004000000001,2.9058770000000003,4.153496,4.783119999999999,2.603015,1.6470596000000002,1.4812296999999999,1.6163448,1.3472456,1.1225123
SPAC1002.03c,1.1999344454626035,1.0982798047625535,0.9519162894646725,0.9007381466092407,0.9011407723795314,0.9339857638058381,0.9731731056559817,1.0178336552091067,1.0541681216102032,0.996403387684072,0.9580266,0.6767119,0.7032145000000001,0.74713796,0.86193997,1.2570742,1.2354136,0.9501565999999999,0.98884183,1.1616242
SPAC1002.04c,1.2288817604923132,1.18384939284372,1.1466126936474834,1.2833786019926599,1.4976775356248568,1.4068641923863066,1.0902618752294633,0.8637939326551042,0.8948487907006637,0.9976221275839231,1.1334772,1.1406415,1.1898993,1.6224976999999998,2.3083215,3.020603,1.8539973,1.7149193,1.6829554,1.530989
SPAC1002.07c,0.6260575348133189,0.687942825433693,0.8154168476054616,1.0155398261152146,1.2933873874931867,1.31678551394956,1.2996405310593233,1.2515329248425369,1.19719666416125,1.1055922365484032,0.7834314,1.3626668,1.6023985,1.8369381,1.938045,1.9695264,0.57008547,0.5934916,0.5241418,0.43759048
SPAC1002.08c,1.1665907472807955,1.2379110176443364,1.3633901894523432,1.2621637478687833,1.0365714405014714,1.0018700609252529,1.1742926934556797,1.130880754214183,1.2636570092830834,1.025582865300869,0.9433715,0.9730926,1.139559,1.796904,2.1109482999999996,2.1706842999999996,1.5377665,2.6422007,2.9032980999999998,2.6379852
SPAC1002.09c,0.8892759077303786,0.8049639647811003,0.7644571336253736,0.7669479306087094,0.7968962283567089,0.8156321891179076,0.816297592664648,0.8286002171870498,0.8382421051245822,0.9013129587474108,0.7283215999999999,0.70187813,1.3548102,1.140213,0.6377363,0.36830592,0.27676165,0.23693311,0.25855392,0.2601541
SPAC1002.12c,0.9461179655147927,0.8742800023564904,0.824189998575725,0.8535623365175073,0.9852227893305113,1.0184714099582635,1.0085997899262993,1.04586829404818,1.11847311290139,1.2029551246186803,1.6085742,0.7405079000000001,1.2106649,1.4167333999999998,1.5005388000000002,1.0632077,0.8208986999999999,0.70293844,0.9055879000000001,1.0854271999999998
SPAC1002.13c,1.0438900094507149,1.3774787114310934,1.3873206944308765,1.2013859573415233,1.0057844022717164,0.9662154748299528,1.0139851880504127,0.9898190596597356,1.0838542854002327,0.9294989791268576,0.67256415,1.8489201000000002,1.4961982,0.8845968000000001,0.85480785,0.30185533,0.36146075,0.48657003,0.68151194,0.7517337
SPAC1002.15c,0.7203253855636991,0.7805293017040255,0.871919384989008,1.0877837644991433,1.2921000212170635,1.3653374737420734,1.2503509635486132,1.0656741379476433,1.0205854529706133,0.9904727324486897,0.93002033,0.9915155999999999,1.0503198,1.0730418,1.0114212,1.2884731000000003,1.1185858,1.0536212,0.92057484,0.94102335
SPAC1002.17c,3.45579210716817,2.551659389697057,2.0077353969303133,1.5824329876125767,1.32747806238159,1.1019040594250675,0.9380683568800761,0.8679285251103908,0.7888737436658544,0.6595044644099317,3.2025827999999996,0.17427082,0.3054206,0.56502897,1.2804229999999999,6.943262599999999,5.443547,5.2013264,2.353243,1.082166
SPAC1002.18,1.7358026678755867,1.4508228148833566,1.1836594022190932,1.02373474691096,0.9491954254949716,0.910914986594051,0.9415234689512223,0.9379827218834554,0.9130806322572974,0.8832232671323941,2.0121105,0.87815344,1.0201755,1.2073943999999999,1.6345849,2.9161534,0.9437576999999999,0.9738308000000001,0.8869195,0.79169345
SPAC1002.19,4.068619802720787,3.1237353655701106,2.2283744600070166,1.6353115917153398,1.1242130701592163,0.8104295760220359,0.711439020345287,0.7071543096351106,0.705069079921826,0.5999299507897263,15.926620999999999,0.84859115,1.4996188999999998,1.4238164,2.2603652000000003,6.6816473,11.812378,13.990454999999999,12.149462,6.064238
SPAC1006.01,0.7269246808408686,0.4220537703597957,0.46238810516850104,0.6069037533560656,0.9821702846515589,1.7201192282083866,2.2157447198472338,1.4981285577140635,1.2855454949554768,1.8320106926039266,2.5335834,0.41138149999999996,0.80186373,0.96512085,1.1271678,4.137696,5.0457540000000005,2.9251482,2.4970974999999997,2.5904512000000004
SPAC1006.03c,1.0838008187238366,1.2034938224813132,1.38105014944965,1.5171921110170468,1.4808794156642267,1.1778377983957933,0.601958673742588,0.42144452469854005,0.40056867232423604,0.499313185696616,1.8664011999999999,1.9368919999999998,2.0195558,1.9833131999999998,2.036193,1.3163003999999998,1.1686119,1.3809968000000001,1.5352531999999999,1.6995089
SPAC1006.04c,0.17180230493036333,0.19511904286594528,0.435120394949782,1.0968579958479445,2.0963315830089932,2.4088037080552396,1.3326887894241704,1.1042477821228067,1.023484650174096,0.8761753766195772,2.4565572999999996,5.5598434999999995,10.215177,17.291292000000002,19.61267,46.32715,7.682410000000001,7.362667599999999,5.7516537,3.3425379
SPAC1006.05c,1.0658096115865747,0.983232455020674,0.9006848181235804,0.9188615139101893,0.9675395489123121,1.0023451849989233,0.914149290001447,0.8526180260315713,0.937629829329286,1.0963245444313567,1.1184119,0.44665936,0.60066766,0.7502333000000001,1.1900309,5.0765195,2.712227,1.8607745,1.9422932000000002,1.5781517
SPAC1006.06,0.42799367750310796,0.43439913114264667,0.5196691449994076,0.7811603733371246,1.4724935469843066,2.58369017378322,2.12971906136707,1.2351297557308334,0.8533613737564968,0.747404198705652,1.071248,0.7406586,0.9867136000000001,1.9665624,4.106299,15.764198,4.1485825,2.8853502,2.4858787,1.7770103
SPAC1006.09,1.4089174217489167,1.2158513842261003,1.0727806622494966,1.044528485036609,1.0546203899201068,1.0585591407322266,0.8270560127114882,0.8299581911028623,0.5465959195551616,0.687481889867202,1.9434228999999998,0.8433586999999999,1.0895872,1.2096248,1.1612897,1.1711645,1.1488457,0.9608952,1.0480393,1.1960389999999999
SPAC1039.02,1.8294864383960068,1.49230216638576,1.2147596444942572,0.9839499265488816,0.8538370434404855,0.8639480616636889,0.9108229209822354,0.9590272876518727,0.9899092574528306,0.82436417991299,3.9393258,0.31875485,0.42029932,0.33934626,0.2135197,0.08604735,0.17312463,0.23334245,0.28105813,0.27850923
SPAC1039.06,1.7679713609613732,1.56185905515023,1.2510853170119833,1.0823196547272358,0.9592259659716879,0.9029033718771714,0.9340996861071647,0.9369709245152807,0.923647639121017,0.9411828174032465,1.7010136999999999,0.42058164,0.5699198000000001,0.5596165,0.6371806,0.689321,0.9377678,0.78683066,0.74103314,0.77476215
SPAC1039.10,2.9233423277512434,2.4545597838024835,1.8827603885517625,1.565751504764121,1.3815163186866295,1.2113219395581576,1.2792581755869423,1.266956974892372,1.2692044435364334,1.2788091810076958,2.5633836,0.4350447,0.5650158000000001,0.71938133,0.89068127,2.6775672000000004,3.7162532999999995,2.2556990000000003,1.9382154999999999,1.5503409
SPAC1039.11c,0.15608680804550615,0.0395569002324719,0.08225034965666367,0.1250717541763207,0.2525084260846126,1.2972304028599086,4.361016918848364,4.1832659488951505,3.3549475622862737,3.10397568450799,3.0559112999999996,2.1426895,10.490272500000001,19.331787,30.948689,204.06558,338.08328,91.640625,64.14035,40.40742
SPAC105.02c,0.6834295279593817,0.6241713922145781,0.6508459445726397,0.7852236664289634,0.9944636436288627,1.26497447317963,1.4646608228140632,1.5902456895004633,1.52621780760347,1.5044022515772333,1.0921068999999999,0.89487565,1.2527021,1.7682345000000002,2.6815903,6.588209,2.7887882999999998,1.5784316999999999,1.2409651000000002,0.9190287
SPAC1071.01c,1.0636193622765897,1.0292364458317595,0.9602380982460197,0.9519675337111456,0.9409938062111444,0.9569142798908751,0.9063461036582804,0.8459124794745083,0.8481514905000913,0.9483298037492857,0.66278833,0.6859505,0.75528085,0.76774436,0.7648003999999999,0.5760805999999999,1.0541209999999999,1.0057212,1.1224774,1.1160163
SPAC1071.02,1.0637224638206633,1.1007887612641767,1.0062003887410063,0.9514403892469043,0.9217298183324396,0.8513509760866177,0.8513036525178683,0.8688282694062214,0.9063122177854895,0.9295581977955764,1.0841448,0.72350025,0.54892707,0.5113199,0.64176166,0.6577464,0.6581573000000001,0.6904143,0.8320409,1.0647049
SPAC1071.04c,0.809159965481784,0.7386661897689955,0.7350351211160663,0.8236025611481831,0.996057381189433,1.0129648114160785,1.0432238411037267,1.0059461285773421,0.9648063968375403,0.8464603319776097,0.73477143,0.6077353,0.8156831,0.9116088999999999,1.1391128000000001,0.8063965,0.4779469,0.6278925,0.6458479,0.5998414000000001
SPAC1071.05,1.0485498060107747,1.0094913454663612,0.9438117464594327,1.0420218917388036,1.2254103009536,1.1450275382710802,1.2148142556593566,1.0990161989665408,1.1271974087904433,1.0360988283800598,0.35099286,0.5691647,0.5748581,0.76674867,0.96816003,0.5235473,0.43822035,0.47865173,0.50851125,0.532944
SPAC1071.06,0.9341684899695576,0.9223089661365492,0.9737993334525094,1.01496805630025,1.0090075138313734,0.9395637193727744,0.8974584907421145,0.907109208961758,0.8933786901820427,0.9355519226750982,0.75018233,1.3014199,1.2356528999999998,0.93803483,0.5257364000000001,0.16303115,0.45590028,0.54229367,0.5767654000000001,0.5757313000000001
SPAC1071.07c,0.974569352449263,0.9862876026068886,1.0591395428963402,1.011492194597887,0.934409419435426,0.874599362291092,0.895779832620331,0.8881607499030556,0.8633402668095426,0.8156952525231617,0.34583494,1.516665,0.88210225,0.594226,0.5435438,0.52265984,0.87848175,1.1144953000000002,0.73749197,0.48788420000000005
SPAC1071.08,1.2105250614528336,1.2761436223270735,1.4608902087710798,1.35641700849966,1.20320104488822,1.26936283831123,1.3005545802556133,1.32850623827154,1.2910324428113134,1.1390743437218733,0.18429059,1.6357881,0.74838924,0.42569146,0.4406788,0.45574063,0.46213844,0.56434053,0.5733482,0.41510699999999995
SPAC1071.10c,1.2114008444802902,1.1154239732749034,0.9872710675840423,0.8769164948149633,0.7995040565227663,0.7565242519498799,0.7849286566792789,0.8934203760626688,0.9057381381281421,0.8845003238586756,0.73463935,0.48832109999999995,0.33369353,0.16498251,0.09298358,0.041274555,0.12663528,0.100707345,0.14857693,0.17948027
