,prot,prot,prot,prot,prot,prot,prot,prot,prot,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,d1,d2,d3,d4,d5,d6,d7,d8,d10,d1,d2,d3,d4,d5,d6,d7,d8,d10
SPAC1002.01,0.5110969736141404,-0.15867045813209757,0.34715061721815227,0.10893276232882795,0.2308105682980429,-0.07954574323941153,-0.04217436732756745,0.1542916902474314,0.049315936892790874,0.8089654512462565,0.24846213737101092,0.16520520603151956,-0.41780180934036937,-0.027863716396368254,-0.32986837024380267,-0.18709256925924234,-0.12453285797538732,-0.13679769968350464
SPAC1002.02,0.47497162497622347,1.2368311839253947,0.8272400223287523,0.3115406802211256,-0.3106008315522314,-0.635636013679709,-0.3859244030080127,-0.42278752734031494,-0.5731227896761616,1.4889242008395502,0.5153525271992576,0.20362582139117658,-0.8777683610728133,-0.6602908644312544,-0.15309737867746587,0.12593960555334582,-0.26272211280578966,-0.2632816215290533
SPAC1002.03c,-0.1277099396554259,-0.2063390362418324,-0.07972694857143467,0.0006447339004619079,0.051648064624423506,0.059295890951419954,0.06473344467544007,0.05060316957606814,-0.08130313853219012,-0.5015239549267427,0.05542305997106367,0.08740984455680995,0.20621273286162062,0.5444105076081268,-0.02507569097775042,-0.37875690189557715,0.057574462705184126,0.23233173572967059
SPAC1002.04c,-0.05386055476090759,-0.04610739993072682,0.16256867853448578,0.22278019689927814,-0.09024396226333115,-0.3678083643856195,-0.33591561635885425,0.050956736993375745,0.15684954497878054,0.009090056975055216,0.060994056446133926,0.44737694826233476,0.5086277415482533,0.38799240743381125,-0.7041974391406143,-0.11249845473186948,-0.027143743903765394,-0.13653302705604364
SPAC1002.07c,0.13599342106887968,0.2452490968647455,0.31663714821322037,0.34890762860773306,0.025865922687394183,-0.018907727878843483,-0.05441639650379576,-0.06403608132181382,-0.11484077377288515,0.7985539788129576,0.2338001390435071,0.1970700364644865,0.07729905724867192,0.023246685833869685,-1.7885986188112828,0.058049379402089096,-0.17927044314292317,-0.26037581572516255
SPAC1002.08c,0.08560907913903124,0.13929089116066096,-0.11129941528176518,-0.28407954129676166,-0.049124142293902516,0.22909663812049869,-0.05434523395312699,0.16015811787762574,-0.30116086640210843,0.04475108258618233,0.22782661696280343,0.6570377133719881,0.23237791095061588,0.04025867296662278,-0.497313462594851,0.7809036010853785,0.1359526531973414,-0.13825623960591304
SPAC1002.09c,-0.14370690004827968,-0.07448859483952819,0.004693028263260957,0.05526323498260338,0.03352684374939502,0.0011764898967932536,0.021580995789574786,0.016690791778848024,0.10466114313743638,-0.05335508094519337,0.9487982973605211,-0.24878739825719678,-0.8382714484278443,-0.7920554151300858,-0.41226053965450005,-0.22416422630394495,0.12598535728323546,0.008901266165078248
SPAC1002.12c,-0.11392467514925364,-0.08511844339334435,0.050519561740319546,0.20695348083695292,0.04788357770519886,-0.014051652308096152,0.05234735485143131,0.09682939093736899,0.10505224910166061,-1.1191954539942932,0.70921256476235,0.22676870169964775,0.08291232537906479,-0.497057165629465,-0.3731473505036285,-0.22380585201412423,0.36545633127839516,0.261336380251158
SPAC1002.13c,0.40006031363649763,0.010271298534099305,-0.2076016152088962,-0.2563786204698877,-0.057904221197694256,0.06961971394203496,-0.034799850409178344,0.13093408448132685,-0.22164562643106042,1.4589390954861692,-0.3053815804967367,-0.7582093719141112,-0.04941986651124766,-1.5017428811195233,0.25998172179618595,0.4288084635357712,0.4860914720351601,0.14148274779805936
SPAC1002.15c,0.11580404480702378,0.1597419608146339,0.3191251393269744,0.2483259546856657,0.07953983651675739,-0.12692448489080788,-0.23056674677892852,-0.06236937458467755,-0.043207819748774856,0.09237321775974171,0.08312128830747896,0.030877612233139326,-0.08532235325753779,0.3492784940997217,-0.20398649663999227,-0.08631964152870474,-0.1947493613092698,0.031695508419874036
SPAC1002.17c,-0.4375806681110983,-0.3458666162139077,-0.3434247402952991,-0.25345638658264685,-0.2686894027414358,-0.23223365619172678,-0.11211681550786151,-0.1377818193114399,-0.2584119950887024,-4.199832941514894,0.8094663482205526,0.8875274665912611,1.1802237531166058,2.4389932393124147,-0.35106672247256343,-0.06566743939144937,-1.1442292710647395,-1.120728483600822
SPAC1002.18,-0.2587316088117091,-0.2936173322260026,-0.20941204878579311,-0.10906490384881384,-0.059388730487991356,0.04768063951930718,-0.005435708915036072,-0.03881908056983023,-0.0479640890867255,-1.196164587054422,0.21627240984238685,0.24307965567827883,0.4370272973978513,0.835142300199369,-1.627578197278674,0.045254620272597725,-0.1348679641287118,-0.16386125084845
SPAC1002.19,-0.3812672348366728,-0.48728055133647485,-0.4464261335512819,-0.5406500595685975,-0.4721567626796902,-0.18794672101294063,-0.008715041245802357,-0.004260448842599629,-0.2329705559352505,-4.230226773422538,0.8214543755500897,-0.0748327895183788,0.6667927591993628,1.5636479469170748,0.8220236939002965,0.24414345380225688,-0.20355045272583716,-1.0024941496818158
SPAC1006.01,-0.784379076892612,0.13167747289075704,0.3923634575910193,0.6945054318718036,0.8084634873620486,0.36528310808535225,-0.5646302453781455,-0.22078076245870532,0.5110472563150723,-2.6226304981654414,0.9628801669007498,0.26735252071194826,0.22392079418594887,1.876125349448404,0.2862422179968722,-0.7865601516791036,-0.22825756652087614,0.05295125288097213
SPAC1006.03c,0.15112909441949915,0.19853697198400078,0.13563806666579759,-0.03494960481321807,-0.3303132929314956,-0.9684045272189045,-0.5143217052652027,-0.0732931445392091,0.317895410117079,0.05348437231236658,0.06029449569610956,-0.02612548557034844,0.03796179090008367,-0.6293855415023188,-0.1716928863847862,0.24091409116983759,0.15276663352759762,0.14664130685245147
SPAC1006.04c,0.18360519422908306,1.1570600541316383,1.3338902145311788,0.9344901702304259,0.20044990373228355,-0.8539769135957878,-0.2712759856978081,-0.10957446919104794,-0.22419788962684373,1.178406383330916,0.8775980228374429,0.7593314686411352,0.181740281599434,1.2400719796078166,-2.5922270661919926,-0.061330390549372726,-0.3562517545921655,-0.7830328968141
SPAC1006.05c,-0.11634530585249975,-0.12651019399923458,0.028825098623394857,0.07447319140698104,0.05098688679772301,-0.13287772901879719,-0.10053023444325976,0.13711891068351617,0.22558456900183838,-1.324204716446582,0.42739199637728587,0.32077230903443343,0.6655878293503235,2.09284067870868,-0.9043617833579578,-0.5435746985666237,0.061857768657695655,-0.29952510883445027
