,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1002.01,-0.8377843602196186,-0.3266873866054782,-0.48535784473757576,-0.1382072275194235,-0.029274465190595535,0.20153610310744735,0.12199035986803582,0.07981599254046837,0.23410768278789976,0.28342361968069063,-0.5469098853105627,0.26205556593569385,0.5105177033067048,0.6757229093382243,0.25792109999785495,0.2300573836014867,-0.09981098664231598,-0.2869035559015583,-0.41143641387694563,-0.5482341135604503
SPAC1002.02,-1.7621050161891127,-1.2871333912128893,-0.0503022072874945,0.7769378150412578,1.0884784952623834,0.777877663710152,0.14224165003044295,-0.24368275297756975,-0.6664702803178847,-1.2395930699940463,0.05004943700885003,1.5389736378484002,2.054326165047658,2.2579519864388344,1.3801836253660211,0.7198927609347667,0.5667953822573009,0.6927349878106467,0.430012875004857,0.16673125347580367
SPAC1002.03c,0.2629555910093206,0.13524565135389469,-0.0710933848879377,-0.15082033345937237,-0.15017559955891047,-0.09852753493448696,-0.039231643983067006,0.025501800692373056,0.0761049702684412,-0.005198168263748931,-0.06186238135249938,-0.5633863362792421,-0.5079632763081784,-0.42055343175136845,-0.21434069888974783,0.330069808718379,0.30499411774062857,-0.07376278415494858,-0.016188321449764457,0.21614341427990613
SPAC1002.04c,0.2973461103748173,0.2434855556139097,0.19737815568318287,0.35994683421766865,0.5827270311169468,0.49248306885361565,0.12467470446799614,-0.21124091189085814,-0.1602841748974824,-0.0034346299187018657,0.1807553714247443,0.1898454283997995,0.25083948484593344,0.6982164331082682,1.2068441746565215,1.5948365820903327,0.8906391429497185,0.778140688217849,0.7509969443140836,0.61446391725804
SPAC1002.07c,-0.6756328476725357,-0.539639426603656,-0.29439032973891055,0.022246818474309815,0.37115444708204287,0.39702036976943705,0.37811264189059357,0.3236962453867978,0.259660164064984,0.14481939029209884,-0.3521211420946881,0.44643283671826955,0.6802329757617767,0.8773030122262632,0.9546020694749351,0.9778487553088048,-0.810749863502478,-0.7527004841003889,-0.9319709272433121,-1.1923467429684746
SPAC1002.08c,0.2222985366918411,0.30790761583087234,0.4471985069915333,0.3358990917097681,0.05181955041300646,0.0026954081191039427,0.23179204623960262,0.17744681228647563,0.33760493016410137,0.03644406376199296,-0.08410207832104465,-0.03935099573486232,0.18847562122794112,0.8455133345999293,1.0778912455505452,1.118149918517168,0.620836455922317,1.4017400570076954,1.5376927102050368,1.3994364705991238
SPAC1002.09c,-0.1692969942146066,-0.3130038942628863,-0.38749248910241446,-0.3827994608391535,-0.3275362258565501,-0.2940093821071551,-0.29283289221036185,-0.27125189642078706,-0.25456110464193904,-0.14989996150450266,-0.4573524627685073,-0.5107075437137006,0.43809075364682043,0.18930335538962365,-0.6489680930382207,-1.4410235081683065,-1.8532840478228065,-2.0774482741267515,-1.951462916843516,-1.9425616506784378
SPAC1002.12c,-0.07990801951202298,-0.19383269466127662,-0.27895113805462096,-0.22843157631430142,-0.021478095477348507,0.026405482227850354,0.012353829919754202,0.06470118477118551,0.1615305757085545,0.2665828248102151,0.6857824858837518,-0.4334129681105414,0.2757995966518085,0.5025682983514562,0.585480623730521,0.08842345810105601,-0.2847238924025725,-0.5085297444166967,-0.1430734131383016,0.1182629671128564
SPAC1002.13c,0.06196970886220898,0.4620300224987066,0.4723013210328059,0.2646997058239097,0.008321085354022045,-0.04958313584367221,0.020036578098362758,-0.014763272310815588,0.11617081217051127,-0.10547481426054915,-0.5722562146188156,0.8866828808673536,0.5813013003706169,-0.17690807154349433,-0.226327938054742,-1.7280708191742653,-1.4680890973780794,-1.0392806338423082,-0.553189161807148,-0.4117064140090887
