,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1002.01,-2.0654733588693857,-0.6544322095348355,-1.0924910460506312,-0.13407448089696145,0.16666807500144468,0.80389198041183,0.5842813727193079,0.4678459977932259,0.8938158923124422,1.0299677771135627,-1.244207378633088,0.5818202669180627,1.1426584720765713,1.5155659589634216,0.5724877928421269,0.5095927503292705,-0.2349987059932885,-0.6573111832668977,-0.9384114961322114,-1.2471964771039676
SPAC1002.02,-1.54957473126062,-1.0639974362365232,0.20045102575740834,1.0461625404151038,1.364659631266192,1.047123375021585,0.39729420647295094,0.002752474204626502,-0.4294755013215185,-1.015395584319205,-1.206974019066421,0.7135801454510822,1.3783301990461967,1.6409858930402959,0.5087578854697743,-0.34294723743793226,-0.5404266041040973,-0.3779778818744592,-0.7168615185132395,-1.0564668620112019
SPAC1002.03c,2.012198324266843,1.0405624540446052,-0.5292950651162595,-1.1358693322749418,-1.1309641026105375,-0.7380180848452397,-0.28688628758157986,0.205615212453637,0.590611516106322,-0.02795463444284879,0.11917533143059542,-1.4203730723404695,-1.25023865967214,-0.9819131184106654,-0.3488935375997142,1.322305454493723,1.2453295899532322,0.08264418280097602,0.2593828436067003,0.972580985737762
SPAC1002.04c,0.4020227412731802,0.19587657453153137,0.01940487281333433,0.641621076506497,1.4942911579901155,1.148890948602256,-0.25886069358178365,-1.5445458664960563,-1.349513786944008,-0.7491870246950668,-1.1830450628832672,-1.162936802122421,-1.0280108720378949,-0.03836115270858847,1.0867824283843819,1.945066652929665,0.38730020853685065,0.1384405733169091,0.07839546227521083,-0.22363143569084626
SPAC1002.07c,-1.778819322030065,-1.4401731038124008,-0.8294620964580223,-0.04098297778563489,0.8278549998651872,0.8922654458260985,0.8451820612701944,0.709676190911144,0.5502157067298727,0.2642430954836259,-0.389314127158054,0.5203167150437397,0.7866378693145835,1.0111198555021654,1.0991710184943462,1.1256512602494453,-0.9117369579004889,-0.8456130548509972,-1.0498195687555272,-1.3464130099392124
SPAC1002.08c,0.04851888720927674,0.6263884374318206,1.5666154020787308,0.8153336023474881,-1.1022307308698438,-1.4338234345636185,0.11260099330796468,-0.254234583211096,0.8268481766224548,-1.2060167503531791,-1.4626201857029606,-1.389136850869715,-1.015035072528101,0.06385105713821117,0.4454262694327777,0.5115328611526818,-0.30507870614427984,0.9772009053161615,1.2004414116688056,0.9734183105364176
SPAC1002.09c,1.4633560125901817,-0.3657448817975561,-1.313835442493621,-1.254102596048296,-0.5507123447835335,-0.12398280105658652,-0.10900844198447711,0.16567439291925853,0.3781147291903344,1.7102413734642925,0.6022672668940667,0.5457121063214123,1.5514165136187157,1.2877075845414332,0.3991590990090683,-0.4404014525180845,-0.8773881575308492,-1.1149970897764396,-0.9814555041442188,-0.9720203664151046
SPAC1002.12c,-0.30528910203437387,-0.96393492345615,-1.4560399656123268,-1.163965415505182,0.032518534994313064,0.3093533675618454,0.2281149346703401,0.5307567152170724,1.0905676047206838,1.6979182494437783,1.4018594840390448,-1.2256564170881947,0.4393497125755595,0.9717306898814612,1.1663825288926293,-0.0005500223428002221,-0.8765816336334432,-1.402006779736154,-0.5440312418847434,0.06950367929664092
SPAC1002.13c,-0.2976377619247192,1.6353321250990285,1.6849599189348472,0.6818919888804176,-0.5568516109040621,-0.8366272149606151,-0.5002459094271791,-0.6683882135273376,-0.03575449840859162,-1.1066788237617886,-0.12412329740851819,1.6604940579048604,1.2869422967424817,0.3594782180392688,0.29902637892815553,-1.5379498301240366,-1.2199325158871337,-0.6954013490283893,-0.10079991573504295,0.07226595656835375
