,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,d1,d2,d3,d4,d5,d6,d7,d8,d10
SPAC1002.01,0.8089654512462565,0.24846213737101092,0.16520520603151956,-0.41780180934036937,-0.027863716396368254,-0.32986837024380267,-0.18709256925924234,-0.12453285797538732,-0.13679769968350464
SPAC1002.02,1.4889242008395502,0.5153525271992576,0.20362582139117658,-0.8777683610728133,-0.6602908644312544,-0.15309737867746587,0.12593960555334582,-0.26272211280578966,-0.2632816215290533
SPAC1002.03c,-0.5015239549267427,0.05542305997106367,0.08740984455680995,0.20621273286162062,0.5444105076081268,-0.02507569097775042,-0.37875690189557715,0.057574462705184126,0.23233173572967059
SPAC1002.04c,0.009090056975055216,0.060994056446133926,0.44737694826233476,0.5086277415482533,0.38799240743381125,-0.7041974391406143,-0.11249845473186948,-0.027143743903765394,-0.13653302705604364
SPAC1002.07c,0.7985539788129576,0.2338001390435071,0.1970700364644865,0.07729905724867192,0.023246685833869685,-1.7885986188112828,0.058049379402089096,-0.17927044314292317,-0.26037581572516255
SPAC1002.08c,0.04475108258618233,0.22782661696280343,0.6570377133719881,0.23237791095061588,0.04025867296662278,-0.497313462594851,0.7809036010853785,0.1359526531973414,-0.13825623960591304
SPAC1002.09c,-0.05335508094519337,0.9487982973605211,-0.24878739825719678,-0.8382714484278443,-0.7920554151300858,-0.41226053965450005,-0.22416422630394495,0.12598535728323546,0.008901266165078248
SPAC1002.12c,-1.1191954539942932,0.70921256476235,0.22676870169964775,0.08291232537906479,-0.497057165629465,-0.3731473505036285,-0.22380585201412423,0.36545633127839516,0.261336380251158
SPAC1002.13c,1.4589390954861692,-0.3053815804967367,-0.7582093719141112,-0.04941986651124766,-1.5017428811195233,0.25998172179618595,0.4288084635357712,0.4860914720351601,0.14148274779805936
SPAC1002.15c,0.09237321775974171,0.08312128830747896,0.030877612233139326,-0.08532235325753779,0.3492784940997217,-0.20398649663999227,-0.08631964152870474,-0.1947493613092698,0.031695508419874036
SPAC1002.17c,-4.199832941514894,0.8094663482205526,0.8875274665912611,1.1802237531166058,2.4389932393124147,-0.35106672247256343,-0.06566743939144937,-1.1442292710647395,-1.120728483600822
SPAC1002.18,-1.196164587054422,0.21627240984238685,0.24307965567827883,0.4370272973978513,0.835142300199369,-1.627578197278674,0.045254620272597725,-0.1348679641287118,-0.16386125084845
SPAC1002.19,-4.230226773422538,0.8214543755500897,-0.0748327895183788,0.6667927591993628,1.5636479469170748,0.8220236939002965,0.24414345380225688,-0.20355045272583716,-1.0024941496818158
SPAC1006.01,-2.6226304981654414,0.9628801669007498,0.26735252071194826,0.22392079418594887,1.876125349448404,0.2862422179968722,-0.7865601516791036,-0.22825756652087614,0.05295125288097213
SPAC1006.03c,0.05348437231236658,0.06029449569610956,-0.02612548557034844,0.03796179090008367,-0.6293855415023188,-0.1716928863847862,0.24091409116983759,0.15276663352759762,0.14664130685245147
SPAC1006.04c,1.178406383330916,0.8775980228374429,0.7593314686411352,0.181740281599434,1.2400719796078166,-2.5922270661919926,-0.061330390549372726,-0.3562517545921655,-0.7830328968141
SPAC1006.05c,-1.324204716446582,0.42739199637728587,0.32077230903443343,0.6655878293503235,2.09284067870868,-0.9043617833579578,-0.5435746985666237,0.061857768657695655,-0.29952510883445027
SPAC1006.06,-0.532411907455567,0.41382269559474627,0.9949726654412805,1.0621627166178307,1.9407411889384827,-1.9259613936665425,-0.5238720444077134,-0.21499053101363708,-0.48430385728924097
SPAC1006.09,-1.2043815953796673,0.3695633819596402,0.1507779630296856,-0.058831705823006286,0.012215811231648999,-0.02775868437692125,-0.25773404725563137,0.125241819715542,0.19057161624748659
SPAC1039.02,-3.627429540756775,0.3989698289636352,-0.30865900936884016,-0.6683889294195888,-1.3111665161877477,1.0086083204665233,0.43063780053791856,0.2684197590992832,-0.013143407162223841
SPAC1039.06,-2.015936983153331,0.4383730429940127,-0.02632041503325988,0.18726384209526903,0.11347362501186431,0.4440547749479997,-0.2531775668737274,-0.08651511218137314,0.06421541142862924
SPAC1039.10,-2.5588138404594094,0.37712756865860664,0.3484655065466115,0.30815253824903965,1.5879416220735552,0.4729260558960342,-0.7202742715766326,-0.2188455823031602,-0.3221435049103296
SPAC1039.11c,-0.512179866437551,2.291557447085842,0.8819228496827978,0.6789032933661128,2.721082659036016,0.7283458074325759,-1.8833194659811507,-0.5147550717530551,-0.6666119874002598
SPAC105.02c,-0.28735495259613264,0.4852842463869139,0.49726624097734606,0.6007792205870752,1.2967974873355208,-1.2402479009480145,-0.8211465865136972,-0.34702929270247135,-0.43328072202391155
SPAC1071.01c,0.0495562708401468,0.1389087366239885,0.023612800827283453,-0.0055427310544869934,-0.4088126032029945,0.8716979001790574,-0.06781005465550038,0.15845597268615708,-0.00832829935110102
SPAC1071.02,-0.5834920376849195,-0.39837902858618235,-0.10238831148439342,0.32781142778945205,0.03549384421689217,0.0009009829694505145,0.06902991604192155,0.2691921013528482,0.35572726715752656
SPAC1071.04c,-0.27385243892487204,0.4245656689048626,0.1604062482047327,0.3214237014227713,-0.49834933393975844,-0.7546390337369873,0.39366723643959634,0.04067686411045346,-0.10661334601902017
SPAC1071.05,0.6974045045637521,0.01435969240757795,0.41554787892708506,0.33649177548903386,-0.8869256508327493,-0.2566634021523183,0.127319842203941,0.08730336805380812,0.06770425554413806
SPAC1071.06,0.7947733323713353,-0.07481297809044318,-0.39756014386513056,-0.8353018670651479,-1.6891919817827747,1.483570651928673,0.25035603512623494,0.08891028990183958,-0.002588972865872008
SPAC1071.07c,2.132746921039017,-0.7818846567978438,-0.5699341664944976,-0.12861543520901952,-0.05652398546367399,0.7491400051757626,0.34330631212027873,-0.5956912864114107,-0.5960885782916714
SPAC1071.08,3.149931560664945,-1.1281251522317448,-0.8139806685002565,0.04991934587232083,0.048485501158920696,0.020112100914542408,0.28824086950545635,0.022845602760617867,-0.4659283075373035
SPAC1071.10c,-0.5892060570932616,-0.5493064028194494,-1.0162106236163282,-0.8272652128425153,-1.171723311873731,1.617354822917537,-0.33051048003987793,0.5610412126872646,0.272615137897815
