,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1002.01,-0.5469098853105627,0.26205556593569385,0.5105177033067048,0.6757229093382243,0.25792109999785495,0.2300573836014867,-0.09981098664231598,-0.2869035559015583,-0.41143641387694563,-0.5482341135604503
SPAC1002.02,0.05004943700885003,1.5389736378484002,2.054326165047658,2.2579519864388344,1.3801836253660211,0.7198927609347667,0.5667953822573009,0.6927349878106467,0.430012875004857,0.16673125347580367
SPAC1002.03c,-0.06186238135249938,-0.5633863362792421,-0.5079632763081784,-0.42055343175136845,-0.21434069888974783,0.330069808718379,0.30499411774062857,-0.07376278415494858,-0.016188321449764457,0.21614341427990613
SPAC1002.04c,0.1807553714247443,0.1898454283997995,0.25083948484593344,0.6982164331082682,1.2068441746565215,1.5948365820903327,0.8906391429497185,0.778140688217849,0.7509969443140836,0.61446391725804
SPAC1002.07c,-0.3521211420946881,0.44643283671826955,0.6802329757617767,0.8773030122262632,0.9546020694749351,0.9778487553088048,-0.810749863502478,-0.7527004841003889,-0.9319709272433121,-1.1923467429684746
SPAC1002.08c,-0.08410207832104465,-0.03935099573486232,0.18847562122794112,0.8455133345999293,1.0778912455505452,1.118149918517168,0.620836455922317,1.4017400570076954,1.5376927102050368,1.3994364705991238
SPAC1002.09c,-0.4573524627685073,-0.5107075437137006,0.43809075364682043,0.18930335538962365,-0.6489680930382207,-1.4410235081683065,-1.8532840478228065,-2.0774482741267515,-1.951462916843516,-1.9425616506784378
SPAC1002.12c,0.6857824858837518,-0.4334129681105414,0.2757995966518085,0.5025682983514562,0.585480623730521,0.08842345810105601,-0.2847238924025725,-0.5085297444166967,-0.1430734131383016,0.1182629671128564
SPAC1002.13c,-0.5722562146188156,0.8866828808673536,0.5813013003706169,-0.17690807154349433,-0.226327938054742,-1.7280708191742653,-1.4680890973780794,-1.0392806338423082,-0.553189161807148,-0.4117064140090887
SPAC1002.15c,-0.10466584138754714,-0.012292623627805432,0.07082866467967353,0.10170627691281285,0.016383923655275058,0.3656624177549968,0.16167592111500453,0.0753562795862998,-0.11939308172297,-0.08769757330309597
SPAC1002.17c,1.679235870677825,-2.5205970708370695,-1.7111307226165169,-0.8236032560252557,0.3566204970913501,2.795613736403765,2.4445470139312016,2.378879574539752,1.2346503034750127,0.1139218198741906
SPAC1002.18,1.0087095364677579,-0.18745505058666403,0.02881735925572283,0.27189701493400165,0.7089243123318529,1.544066612531222,-0.08351158474745202,-0.03825696447485429,-0.1731249286035661,-0.3369861794520161
SPAC1002.19,3.993368311302771,-0.23685846211976672,0.584595913430323,0.5097631239119442,1.176555883111307,2.7402038300283817,3.5622275239286783,3.806370977730935,3.602820525005098,2.600326375323282
