,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1002.01,-1.244207378633088,0.5818202669180627,1.1426584720765713,1.5155659589634216,0.5724877928421269,0.5095927503292705,-0.2349987059932885,-0.6573111832668977,-0.9384114961322114,-1.2471964771039676
SPAC1002.02,-1.206974019066421,0.7135801454510822,1.3783301990461967,1.6409858930402959,0.5087578854697743,-0.34294723743793226,-0.5404266041040973,-0.3779778818744592,-0.7168615185132395,-1.0564668620112019
SPAC1002.03c,0.11917533143059542,-1.4203730723404695,-1.25023865967214,-0.9819131184106654,-0.3488935375997142,1.322305454493723,1.2453295899532322,0.08264418280097602,0.2593828436067003,0.972580985737762
SPAC1002.04c,-1.1830450628832672,-1.162936802122421,-1.0280108720378949,-0.03836115270858847,1.0867824283843819,1.945066652929665,0.38730020853685065,0.1384405733169091,0.07839546227521083,-0.22363143569084626
SPAC1002.07c,-0.389314127158054,0.5203167150437397,0.7866378693145835,1.0111198555021654,1.0991710184943462,1.1256512602494453,-0.9117369579004889,-0.8456130548509972,-1.0498195687555272,-1.3464130099392124
SPAC1002.08c,-1.4626201857029606,-1.389136850869715,-1.015035072528101,0.06385105713821117,0.4454262694327777,0.5115328611526818,-0.30507870614427984,0.9772009053161615,1.2004414116688056,0.9734183105364176
SPAC1002.09c,0.6022672668940667,0.5457121063214123,1.5514165136187157,1.2877075845414332,0.3991590990090683,-0.4404014525180845,-0.8773881575308492,-1.1149970897764396,-0.9814555041442188,-0.9720203664151046
SPAC1002.12c,1.4018594840390448,-1.2256564170881947,0.4393497125755595,0.9717306898814612,1.1663825288926293,-0.0005500223428002221,-0.8765816336334432,-1.402006779736154,-0.5440312418847434,0.06950367929664092
SPAC1002.13c,-0.12412329740851819,1.6604940579048604,1.2869422967424817,0.3594782180392688,0.29902637892815553,-1.5379498301240366,-1.2199325158871337,-0.6954013490283893,-0.10079991573504295,0.07226595656835375
SPAC1002.15c,-1.0357847312457305,-0.4039175453146364,0.16466300008132526,0.37587735877965783,-0.20775928999534382,2.181435592736416,0.7860920426708835,0.19563357098284515,-1.1365245358444844,-0.9197154628509328
SPAC1002.17c,0.5904659089601901,-1.696335686980155,-1.255582694480632,-0.7723255613267349,-0.12969581872077263,1.1983316789957248,1.0071764705835005,0.9714206661758338,0.3483898552767989,-0.26184481848375346
SPAC1002.18,1.1924678126901163,-0.749777298065735,-0.3986098791721925,-0.003914803030573843,0.7056983562488203,2.061741719262895,-0.5810014535823519,-0.5075202906096123,-0.7265090876042088,-0.9925750761371566
SPAC1002.19,1.112443480444272,-1.5622214723570533,-1.0428367333607773,-1.090151605627833,-0.6685554786737926,0.3200994058384952,0.8398441103684989,0.9942098156407114,0.8655100339994166,0.23165844372806627
