,prot,prot,prot,prot,prot,prot,prot,prot,prot
,d1,d2,d3,d4,d5,d6,d7,d8,d10
SPAC1002.01,0.5110969736141404,-0.15867045813209757,0.34715061721815227,0.10893276232882795,0.2308105682980429,-0.07954574323941153,-0.04217436732756745,0.1542916902474314,0.049315936892790874
SPAC1002.02,0.47497162497622347,1.2368311839253947,0.8272400223287523,0.3115406802211256,-0.3106008315522314,-0.635636013679709,-0.3859244030080127,-0.42278752734031494,-0.5731227896761616
SPAC1002.03c,-0.1277099396554259,-0.2063390362418324,-0.07972694857143467,0.0006447339004619079,0.051648064624423506,0.059295890951419954,0.06473344467544007,0.05060316957606814,-0.08130313853219012
SPAC1002.04c,-0.05386055476090759,-0.04610739993072682,0.16256867853448578,0.22278019689927814,-0.09024396226333115,-0.3678083643856195,-0.33591561635885425,0.050956736993375745,0.15684954497878054
SPAC1002.07c,0.13599342106887968,0.2452490968647455,0.31663714821322037,0.34890762860773306,0.025865922687394183,-0.018907727878843483,-0.05441639650379576,-0.06403608132181382,-0.11484077377288515
SPAC1002.08c,0.08560907913903124,0.13929089116066096,-0.11129941528176518,-0.28407954129676166,-0.049124142293902516,0.22909663812049869,-0.05434523395312699,0.16015811787762574,-0.30116086640210843
SPAC1002.09c,-0.14370690004827968,-0.07448859483952819,0.004693028263260957,0.05526323498260338,0.03352684374939502,0.0011764898967932536,0.021580995789574786,0.016690791778848024,0.10466114313743638
SPAC1002.12c,-0.11392467514925364,-0.08511844339334435,0.050519561740319546,0.20695348083695292,0.04788357770519886,-0.014051652308096152,0.05234735485143131,0.09682939093736899,0.10505224910166061
SPAC1002.13c,0.40006031363649763,0.010271298534099305,-0.2076016152088962,-0.2563786204698877,-0.057904221197694256,0.06961971394203496,-0.034799850409178344,0.13093408448132685,-0.22164562643106042
SPAC1002.15c,0.11580404480702378,0.1597419608146339,0.3191251393269744,0.2483259546856657,0.07953983651675739,-0.12692448489080788,-0.23056674677892852,-0.06236937458467755,-0.043207819748774856
SPAC1002.17c,-0.4375806681110983,-0.3458666162139077,-0.3434247402952991,-0.25345638658264685,-0.2686894027414358,-0.23223365619172678,-0.11211681550786151,-0.1377818193114399,-0.2584119950887024
SPAC1002.18,-0.2587316088117091,-0.2936173322260026,-0.20941204878579311,-0.10906490384881384,-0.059388730487991356,0.04768063951930718,-0.005435708915036072,-0.03881908056983023,-0.0479640890867255
SPAC1002.19,-0.3812672348366728,-0.48728055133647485,-0.4464261335512819,-0.5406500595685975,-0.4721567626796902,-0.18794672101294063,-0.008715041245802357,-0.004260448842599629,-0.2329705559352505
SPAC1006.01,-0.784379076892612,0.13167747289075704,0.3923634575910193,0.6945054318718036,0.8084634873620486,0.36528310808535225,-0.5646302453781455,-0.22078076245870532,0.5110472563150723
SPAC1006.03c,0.15112909441949915,0.19853697198400078,0.13563806666579759,-0.03494960481321807,-0.3303132929314956,-0.9684045272189045,-0.5143217052652027,-0.0732931445392091,0.317895410117079
SPAC1006.04c,0.18360519422908306,1.1570600541316383,1.3338902145311788,0.9344901702304259,0.20044990373228355,-0.8539769135957878,-0.2712759856978081,-0.10957446919104794,-0.22419788962684373
SPAC1006.05c,-0.11634530585249975,-0.12651019399923458,0.028825098623394857,0.07447319140698104,0.05098688679772301,-0.13287772901879719,-0.10053023444325976,0.13711891068351617,0.22558456900183838
SPAC1006.06,0.02143173285363309,0.2585721849570497,0.5880253636058675,0.9145706404076748,0.811171766305505,-0.27876994585522574,-0.786000520957626,-0.5334338956366826,-0.1912681419907813
SPAC1006.09,-0.21262015986730237,-0.18061175943333396,-0.03850330056511389,0.013871958750769797,0.005378078636469191,-0.35604492871326116,0.005053623130876428,-0.6025639730539433,0.33084701963270347
SPAC1039.02,-0.2938990343777599,-0.2968688002682619,-0.3040140832274637,-0.20462414353585018,0.01698382908370738,0.07622601366868456,0.07440126795647703,0.0457244174428575,-0.26401446436839576
SPAC1039.06,-0.17883063690060286,-0.32008409148934497,-0.20905352567605487,-0.17418403317029235,-0.08729911292523979,0.049004921307352386,0.004427758782125965,-0.0206616946434591,0.027132397262830052
SPAC1039.10,-0.2521544750474143,-0.3826149001743142,-0.2659941401137993,-0.18060266185385443,-0.189670254761657,0.07872510464128668,-0.01393992122749299,0.0025569450686630524,0.01087652955737739
SPAC1039.11c,-1.9803473277121264,1.0560924342371099,0.6046622953855803,1.0135755182679924,2.361031305561039,1.7492298460791647,-0.06003486799637825,-0.3183395021347437,-0.11217296134234811
SPAC105.02c,-0.13085034615755464,0.06037386204548323,0.2707875584406671,0.3408149729640614,0.3471177380686478,0.21145834079710968,0.11868306313559818,-0.059288811099353134,-0.020770494161415964
SPAC1071.01c,-0.04740749585272627,-0.10011036734654476,-0.012479805146568906,-0.01672714520308273,0.02420446737853575,-0.07832762118852671,-0.09955366738975649,0.0038135655338213115,0.16106690590506972
SPAC1071.02,0.04941585983135484,-0.12961999361257792,-0.0807324770840748,-0.04576934667663578,-0.11458990640481233,-8.019650823187785e-05,0.02939722511192211,0.06093708811598361,0.036537058691797616
SPAC1071.04c,-0.13150239783456918,-0.00710935832224846,0.16413513051209327,0.2742805396100752,0.024283297333431923,0.04246468702904732,-0.05249569881638476,-0.06024166887311699,-0.18879701250603992
SPAC1071.05,-0.05476684866908508,-0.09705751012003466,0.14281455523476144,0.23387929657770046,-0.09788258794813537,0.08535344751558266,-0.14452309245274386,0.03652754921610912,-0.12157857910186268
SPAC1071.06,-0.018432660103790993,0.07837439017254075,0.05973790451596456,-0.008497404857874464,-0.10287400705004225,-0.06614579278230656,0.015431037645386447,-0.022004408224399002,0.06654588220242764
SPAC1071.07c,0.017243545081090356,0.10281237403367019,-0.06640749157745139,-0.114358464386909,-0.09543252107881402,0.0345218895702232,-0.012323369730173561,-0.0408915379344677,-0.08189902300023244
SPAC1071.08,0.07615775722776563,0.19505705348715313,-0.10704697846584271,-0.17292305495471594,0.07722678721430076,0.0350224337892725,0.03067805630986703,-0.04127974721757405,-0.180663344907084
SPAC1071.10c,-0.11908413864133202,-0.17607402948179648,-0.17100678174578393,-0.133334113571268,-0.07971902191133207,0.05317519953048816,0.18677762699044226,0.019754848471813108,-0.034231335593238904
SPAC1071.12c,0.04965069297285947,0.11313406186039501,-0.02914300064272149,-0.021748692278683993,-0.22009807378709667,0.05495428643444171,-0.06541034481026307,-0.04871748291249539,-0.3597909298610138
SPAC1093.02,-0.09607580394891091,-0.20417406468978153,-0.1602376996893572,-0.12067083046780853,-0.06460355810161492,-0.003843417733387894,0.04317821429999588,0.04454375182493431,-0.06755756886007305
