,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1961,C29A4.21,,SPAC1250.01 SPAC29A4.21,,,,,,,,,,,,
0,299,C1250.01,,SPAC1250.01 SPAC29A4.21,,,,,,,,,,,,
1,3590,cox4,COX4,SPAC1296.02,1,1.1802279,0.83882093,0.89688617,0.82009757,0.8882934,1.2368096,0.45917422,0.45756173,0.3838355,0.39315045,0.42046508
0,3815,I18_cox4,COX4,SPAC1296.02,1,2.53896,1.66195,1.57096,1.67528,1.84294,2.96642,1.7217562,,1.75828,1.69303,1.9821485
0,506,C13G7.02c.A,,SPAC13G7.02C,1,1.1390144,5.8259196,7.5952935,19.73755,24.382723,27.60216,7.971517,6.919817,9.305873,12.082448,14.4608
0,505,C13G7.02c,,SPAC13G7.02C,,,,,,,,,,,,
0,507,C13G7.02c.B,,SPAC13G7.02C,1,0.48085076,1.8215499,2.200407,2.6473622,3.2046075,2.962069,0.81696314,0.8170248,0.79090255,1.0492579,1.2446109
0,3819,I21_ade2: min10,ADE2 MIN10,SPAC144.03,1,1.2474295,2.7547314,2.0022738,1.8187402,1.6730602,2.1026561,2.3134043,2.3985667,3.0196085,3.6985958,3.4547534
1,10,ade2: min10,ADE2 MIN10,SPAC144.03,1,0.5977842,0.5524356,0.4239643,0.33349437,0.28726476,0.1768623,0.2303126,0.22347581,0.2611217,0.27701384,0.33100274
1,4819,skp1,SKP1,SPAC1687.15,1,0.9632491,0.8092315,0.75561374,0.5531135,0.27601308,0.18881722,0.65276957,0.9695359,1.0525593,1.2263924,1.2117102
0,3816,I19_skp1,SKP1,SPAC1687.15,1,1.389,1.1354376,1.18084,1.17331,0.96912,1.08943,1.5915684,,4.09887,3.580719,3.7705312
0,4964,tif45: tif1,TIF45 TIF1,SPAC16E8.15,1,0.5721039,1.6091719,1.1547846,0.9719853,0.8737213,0.78561205,0.58124983,0.51895136,0.5021359,0.5005443,0.5086236
0,4951,tif1,TIF45 TIF1,SPAC16E8.15,1,0.3001765,1.893358,0.9550423,0.5803759,0.6739106,1.0948347,0.8010166,0.61470634,0.5356577,0.5514408,0.6037731
1,985,C1782.01,,SPAC1782.01 SPAPYUG7.07,1,0.7949794,0.7302123,0.86510307,0.99407,1.2100146,3.2376688,2.149081,1.2492883,0.99800986,0.73247784,0.65797544
0,4490,pyug7.07,,SPAC1782.01 SPAPYUG7.07,1,0.88689405,0.790882,0.88219047,0.9984151,1.2210408,3.183591,2.229373,1.1800771,0.97046334,0.71022093,0.6269564
0,4601,rpl15,RPL15-2,SPAC1783.08C,1,0.23066488,1.4128813,0.7032327,0.3601576,0.29391986,0.20741116,0.20042846,0.22967272,0.21690115,0.21891446,0.26559478
0,4602,rpl15-2,RPL15-2,SPAC1783.08C,1,0.21897985,1.2851372,0.69592947,0.36014578,0.28762972,0.20568413,0.20437099,0.2260777,0.23932841,0.2394126,0.2928138
0,3828,I3_C1B2.04,COX6,SPAC1B2.04,1,1.3401453,1.0577618,1.0745709,1.3930295,1.6149689,2.1409042,1.5335397,1.602782,1.5378103,1.431284,1.3505859
1,1347,C1B2.04,COX6,SPAC1B2.04,1,1.1188269,0.9957584,0.992481,0.9589229,1.1011865,1.9427123,1.0761862,0.78975415,0.55433434,0.43021023,0.42557308
0,3818,I20_C23C4.08,,SPAC23C4.08,,,,,,,,,,,,
1,1638,C23C4.08,,SPAC23C4.08,1,1.6430651,1.4936583,1.411001,1.72668,2.0766532,2.623825,2.5845373,2.253994,1.8814903,1.7686347,1.5456008
