,prot,prot,prot,prot,prot,prot,ribo,ribo,ribo,ribo,ribo,ribo
,h0,h1,h3,h5,h7,h10,h0,h1,h3,h5,h7,h10
SPAC1002.01,-0.8377843602196186,-0.3266873866054782,-0.1382072275194235,0.20153610310744735,0.07981599254046837,0.28342361968069063,6.565691271227212,5.433456733698543,6.852792428288336,6.653969938726435,6.230712928862596,2.9850701309680496
SPAC1002.02,-1.7621050161891127,-1.2871333912128893,0.7769378150412578,0.777877663710152,-0.24368275297756975,-1.2395930699940463,6.796725125292677,7.835261203424773,10.411627653334968,6.117458922471006,7.083553838805769,5.6074727467373195
SPAC1002.03c,0.2629555910093206,0.13524565135389469,-0.15082033345937237,-0.09852753493448696,0.025501800692373056,-0.005198168263748931,6.053597224476644,4.6970981129026,5.347599210659555,5.059807426626489,6.694585240368517,3.9282002830870484
SPAC1002.04c,0.2973461103748173,0.2434855556139097,0.35994683421766865,0.49248306885361565,-0.21124091189085814,-0.0034346299187018657,5.131465781802018,5.895041374070128,8.640229686167721,6.468035009651427,7.503325396444088,6.17761782636203
SPAC1002.07c,-0.6756328476725357,-0.539639426603656,0.022246818474309815,0.39702036976943705,0.3236962453867978,0.14481939029209884,7.026930727401194,6.422650068711021,10.131114039876465,8.981611141576382,4.554091085140895,5.4863968839542
SPAC1002.08c,0.2222985366918411,0.30790761583087234,0.3358990917097681,0.0026954081191039427,0.17744681228647563,0.03644406376199296,2.549217964761278,2.851295451645879,5.415189994432663,4.828989893652239,2.5634577007743014,1.5744339738259616
SPAC1002.09c,-0.1692969942146066,-0.3130038942628863,-0.3827994608391535,-0.2940093821071551,-0.27125189642078706,-0.14989996150450266,9.240766196573002,8.891094107476828,8.994495036834676,7.693819213384911,7.866612390132295,6.0789592394283645
SPAC1002.12c,-0.07990801951202298,-0.19383269466127662,-0.22843157631430142,0.026405482227850354,0.06470118477118551,0.2665828248102151,7.3115223374969105,5.8367246116565505,8.023247185840063,5.7245956017191855,7.111801207046736,7.467824759721912
SPAC1002.13c,0.06196970886220898,0.4620300224987066,0.2646997058239097,-0.04958313584367221,-0.014763272310815588,-0.10547481426054915,8.629356868676695,12.127995842282596,12.683336723568603,5.189722814963842,7.345553793595642,6.88091570489898
SPAC1002.15c,-0.47327934653080755,-0.3574753017237838,0.12139179841782449,0.4492575896202476,0.09176635795051119,-0.013810836382941219,6.425683047820774,5.15594458728057,8.693409608987182,7.05399554530494,5.326501867505633,3.451692920767426
SPAC1002.17c,1.7890164307598369,1.3514357626487385,0.6621444061395317,0.13999861681544903,-0.20435185488413926,-0.6005456692842815,10.018419227206223,3.4622253565767993,8.780521533809418,11.27344266424139,9.597418515445531,7.916141150803192
SPAC1002.18,0.7956029464811432,0.5368713376694341,0.0338419566576383,-0.1346116776791669,-0.0923667470748958,-0.17914991673145153,6.611156238273557,6.825031657453774,9.360121766974984,6.779662181789354,5.636080597216155,4.726238463935812
SPAC1002.19,2.0245394722630548,1.643272237426382,0.7095655525386252,-0.3032412697096624,-0.4999030319684054,-0.7371340367462555,10.412755568552983,7.654902117348095,7.843858494598817,10.125904401350146,11.558143470565804,9.497792414655345
SPAC1006.01,-0.46012220557965855,-1.2445012824722705,-0.7204603519904942,0.782508567243358,0.5831614299505647,0.8734279238069318,10.172415819549713,4.94113514343415,9.437152391126975,12.072312057796998,9.41639470905079,9.34455083596807
SPAC1006.03c,0.11609964207637749,0.26722873649587664,0.601403775145675,0.23614087740096135,-1.2465853550831458,-1.001983089505276,4.706199904083871,6.23030818401695,6.647137253492959,5.011554064635619,5.154188566245559,3.805845651493558
SPAC1006.04c,-2.541178702827178,-2.357573508598095,0.1333767600647221,1.2683168340274316,0.14306393473383572,-0.19070842408405594,2.24652240893125,3.9340309282545083,8.092995054618301,9.420960517939028,2.461383933087308,1.0457348285715977
SPAC1006.05c,0.09194974864946764,-0.024395557203032103,-0.12208065257887182,0.0033794256258322265,-0.2300285378362247,0.13267494184912984,6.264747109405907,4.378394138655852,7.363952759122295,7.421608833820926,6.411781806305723,5.9465018779581795
