,prot,prot,prot,prot,prot,prot
,h0,h1,h3,h5,h7,h10
SPAC1002.01,-0.8377843602196186,-0.3266873866054782,-0.1382072275194235,0.20153610310744735,0.07981599254046837,0.28342361968069063
SPAC1002.02,-1.7621050161891127,-1.2871333912128893,0.7769378150412578,0.777877663710152,-0.24368275297756975,-1.2395930699940463
SPAC1002.03c,0.2629555910093206,0.13524565135389469,-0.15082033345937237,-0.09852753493448696,0.025501800692373056,-0.005198168263748931
SPAC1002.04c,0.2973461103748173,0.2434855556139097,0.35994683421766865,0.49248306885361565,-0.21124091189085814,-0.0034346299187018657
SPAC1002.07c,-0.6756328476725357,-0.539639426603656,0.022246818474309815,0.39702036976943705,0.3236962453867978,0.14481939029209884
SPAC1002.08c,0.2222985366918411,0.30790761583087234,0.3358990917097681,0.0026954081191039427,0.17744681228647563,0.03644406376199296
SPAC1002.09c,-0.1692969942146066,-0.3130038942628863,-0.3827994608391535,-0.2940093821071551,-0.27125189642078706,-0.14989996150450266
SPAC1002.12c,-0.07990801951202298,-0.19383269466127662,-0.22843157631430142,0.026405482227850354,0.06470118477118551,0.2665828248102151
SPAC1002.13c,0.06196970886220898,0.4620300224987066,0.2646997058239097,-0.04958313584367221,-0.014763272310815588,-0.10547481426054915
SPAC1002.15c,-0.47327934653080755,-0.3574753017237838,0.12139179841782449,0.4492575896202476,0.09176635795051119,-0.013810836382941219
SPAC1002.17c,1.7890164307598369,1.3514357626487385,0.6621444061395317,0.13999861681544903,-0.20435185488413926,-0.6005456692842815
SPAC1002.18,0.7956029464811432,0.5368713376694341,0.0338419566576383,-0.1346116776791669,-0.0923667470748958,-0.17914991673145153
SPAC1002.19,2.0245394722630548,1.643272237426382,0.7095655525386252,-0.3032412697096624,-0.4999030319684054,-0.7371340367462555
SPAC1006.01,-0.46012220557965855,-1.2445012824722705,-0.7204603519904942,0.782508567243358,0.5831614299505647,0.8734279238069318
SPAC1006.03c,0.11609964207637749,0.26722873649587664,0.601403775145675,0.23614087740096135,-1.2465853550831458,-1.001983089505276
SPAC1006.04c,-2.541178702827178,-2.357573508598095,0.1333767600647221,1.2683168340274316,0.14306393473383572,-0.19070842408405594
SPAC1006.05c,0.09194974864946764,-0.024395557203032103,-0.12208065257887182,0.0033794256258322265,-0.2300285378362247,0.13267494184912984
SPAC1006.06,-1.2243386101821658,-1.2029068773285327,-0.3563093287656155,1.3694330779475643,0.3046626111347126,-0.42003942649275133
SPAC1006.07,-0.12002547062546205,-0.050812349096052034,0.015693527009359564,-0.025111647483077263,0.09221197753230691,0.137780215094717
SPAC1006.09,0.4945870561297492,0.2819668962624468,0.06285183626399896,0.08210187365123794,-0.2688894319311468,-0.5406063853523866
SPAC1039.02,0.871438721317151,0.5775396869393912,-0.02334319655633442,-0.2109835110084772,-0.06035622938331562,-0.27864627630885386
SPAC1039.06,0.8220949049704942,0.6432642680698913,0.1141266509044915,-0.14735649519104063,-0.09392381510156228,-0.08745311248219133
SPAC1039.10,1.547618780779691,1.2954643057322768,0.6468552654441633,0.27658234882865185,0.34136753224244554,0.354801006868486
SPAC1039.11c,-2.679579484359276,-4.659926812071403,-2.9991720824487125,0.3754347413803187,2.064629719463105,1.6341172559860133
SPAC105.02c,-0.5491355133181924,-0.6799858594757471,-0.34882443898959675,0.33910827204311245,0.6692496759758203,0.5891903707150512
SPAC1071.01c,0.08898194557087226,0.04157444971814599,-0.07101572277496768,-0.06353840059951466,-0.24141968917779785,-0.07653921773890683
SPAC1071.02,0.08912178589614077,0.1385376457274956,-0.07181482496915711,-0.23217407805060522,-0.202857049446915,-0.10538290263913376
SPAC1071.04c,-0.3055031529319686,-0.4370055507665378,-0.279979778576693,0.01858405836681415,0.008553046579476711,-0.2404856347996802
SPAC1071.05,0.06839539093204895,0.013628542262963873,0.05938558737769066,0.19538229600725576,0.13621265107009456,0.05116162118434101
SPAC1071.06,-0.09824531184659503,-0.11667797195038603,0.02143432273811929,-0.08993708916979742,-0.14065184430671754,-0.0961103703286889
SPAC1071.07c,-0.03716324047192768,-0.019919695390837322,0.016485187065381473,-0.19330579840034154,-0.1711072785602919,-0.29389783949499204
SPAC1071.08,0.2756329477048374,0.35179070493260306,0.4398007799539135,0.3441045122134983,0.40980500231263783,0.1878619101879798
SPAC1071.10c,0.2766763222214417,0.15759218358010965,-0.18948862764747076,-0.40254176313007084,-0.16258893660914042,-0.17706542373056622
SPAC1071.11,0.20648895587425886,-0.006307452992566699,-0.03722219213411727,-0.1629701150476741,-0.12569408753017974,-0.09913668403082815
SPAC1071.12c,-0.029026056532460633,0.020624636440398837,0.10461569765807235,-0.1372310684077083,-0.14768712678352966,-0.5561955395570388
SPAC1093.02,0.43342528776262296,0.33734948381371205,-0.027062280565426686,-0.21233666913485014,-0.17300187256824215,-0.1960156896033809
SPAC1093.04c,-0.9015218752397557,-0.6961096433820522,-0.13602845975037747,0.19817060947748413,0.2259500892494234,0.260984735520114
SPAC1093.05,0.19961597444172013,0.7784069430797571,0.5628221715983225,0.3005261256654704,-0.21426885493795064,-0.24527049188089395
SPAC1093.06c,-0.11676647214246877,-0.0004830169242531761,0.3725800909301246,0.5923135495914272,0.6607672955965163,0.023980952201069935
SPAC10F6.01c,0.43765724966375347,0.38298103750152246,0.06407892194893491,-0.12667929041552076,-0.06034017494164858,-0.036099409092996436
SPAC10F6.02c,-0.066506405696821,-0.13816944822132154,0.12023389941858931,-0.18024102590301044,-0.274863151964772,-0.22032595904488916
SPAC10F6.03c,-0.3607454537818005,0.1673717676697053,0.09202711521499665,-0.18375625618586042,-0.08965334022659378,-0.10004871844946174
SPAC10F6.05c,-1.997876721723923,-0.9672076235755245,0.09801220055567104,1.160523917141947,0.6877125597885981,-1.0212452798363234
SPAC10F6.06,0.009102903515771713,-0.048995633218079156,0.05271865271341772,0.342162962218766,0.44828465411827634,0.4283778820247322
SPAC10F6.08c,0.037674838156433244,0.08099918557081137,0.2322739922357456,0.19916843113725488,-0.2675252624596032,-0.18985175873791113
SPAC10F6.09c,-1.4207124421113866,-0.7430658997234146,0.8083741606675926,-1.035921190177828,-2.065651837595341,-2.4484306357814107
SPAC10F6.10,-0.11468638045997986,0.24721273166237429,0.19731902338911392,0.02704348247582474,-0.005409009540742317,-0.05758318063867908
SPAC10F6.11c,-0.5421612683624474,-0.5961597098796518,-0.15311085227152474,0.17850145254271763,0.5948680055201492,0.6177264331966945
SPAC10F6.12c,-3.1522242538929275,-2.8266102457061484,-2.9001467465028274,-3.2899596352058387,-3.2316135469937937,-3.5387649630279494
SPAC10F6.13c,1.0227778591208518,0.8444044989585184,0.3590130500491993,0.09794067858920955,0.12634157459495873,0.22641942217106473
SPAC10F6.14c,-0.15257182008256748,-0.12560415184945095,-0.19491291301224145,-0.18032075396179362,-0.10166370361874102,-0.03652492015370171
SPAC10F6.16,0.10570611959875825,-0.0816523676738135,0.17673229176404068,0.003486398865789624,0.2740482996226846,0.08060211096988705
SPAC10F6.17c,-0.45716534342865955,-0.5367960655467199,-0.2021380321079348,0.41407725600641165,0.5717450574104781,0.617861521548603
SPAC110.02,-0.40611158281135584,-0.24831463665759843,0.26634723239943875,-0.21275433183258735,-0.6728521675556457,-0.7112124869456722
SPAC110.03,-0.6420896630890893,-0.561457977473991,-0.4637478616754707,-0.227168495000138,0.6281145403847043,0.6309881339356567
SPAC110.04c,-0.6952436449224804,-0.3729606042049384,0.09892054437634051,0.23096756726187562,0.22317911227302537,0.19959734530948456
SPAC1142.01,-0.12952539800461263,-0.018216132318672376,0.41086579249326055,0.4383251587840864,0.15733380292103238,-0.28486581926655635
