,prot,prot,prot,prot,prot,prot
,h0,h1,h3,h5,h7,h10
SPAC1002.01,-1.7192694658073187,-0.48995661443373545,-0.03661587137476681,0.7805496844193237,0.48778313733433243,0.9775091298621644
SPAC1002.02,-1.1470896078341613,-0.7166696420118887,1.153794636975556,1.154646329183409,0.22890681862185383,-0.6735885349347689
SPAC1002.03c,1.5426245973747725,0.703443387003844,-1.1762944002761289,-0.8326787500127468,-0.01768276556801966,-0.21941206852172143
SPAC1002.04c,0.3910821918768347,0.18235324453331184,0.6336824259194437,1.147307821410435,-1.5798747405448994,-0.774550943195127
SPAC1002.07c,-1.3793052728375632,-1.07727474649771,0.1706297257198588,1.0029718498185816,0.8401248259946824,0.44285361780215005
SPAC1002.08c,0.3044061942529909,0.9271055004725717,1.1307085853923773,-1.292932746676543,-0.02183417593736367,-1.0474533575040321
SPAC1002.09c,1.0591123467419719,-0.5586794636130267,-1.344408582870609,-0.34484723845956083,-0.08865304071882366,1.2774759789200485
SPAC1002.12c,-0.3040145811197148,-0.9244029107673181,-1.112814616732457,0.2749263346825776,0.4834694523383037,1.5828363215986088
SPAC1002.13c,-0.18899345160419959,1.647211306999978,0.7415007075118236,-0.7010009097368446,-0.5411840098004185,-0.957533643370339
SPAC1002.15c,-1.3101738448849276,-0.9676219875645985,0.4488813378283912,1.418718237008767,0.36124839138923964,0.04894786622312804
SPAC1002.17c,1.3737999486388084,0.8989843290624481,0.15103926119109207,-0.4155373600689592,-0.7891895675059197,-1.219096611317469
SPAC1002.18,1.5623542297986708,0.9263434257044276,-0.31019710589011357,-0.7242877224916537,-0.6204417625568504,-0.8337710645644807
SPAC1002.19,1.3260570681541488,1.0002302437759918,0.20229468509112677,-0.6632389890601733,-0.8313039881436322,-1.0340390198174618
SPAC1006.01,-0.4804328481467675,-1.3585962434252077,-0.7718983363369057,0.910773126982948,0.6875910405642356,1.012563260361697
SPAC1006.03c,0.37837968976787084,0.5773627084618983,1.017351833111551,0.5364311057734705,-1.4157895620587269,-1.0937357750560637
SPAC1006.04c,-1.2802297530338849,-1.1597121910350126,0.47533552479985014,1.2203047033849925,0.48169413942772477,0.26260757645633037
SPAC1006.05c,0.8659634327758445,0.002630899976911116,-0.7222347934825822,0.2087332957580566,-1.523254830403279,1.1681619953750493
SPAC1006.06,-0.9865747697174801,-0.9647638319843516,-0.10318691037789783,1.6530901220628047,0.5694800140825481,-0.16804462406562354
SPAC1006.07,-1.3534742398112345,-0.6234092477640674,0.07809952451917394,-0.35231639565639017,0.8852216530704723,1.3658787056420456
SPAC1006.09,1.2744253270510157,0.705066151045971,0.11831478142573976,0.16986297625216176,-0.7700296503738503,-1.4976395854010383
SPAC1039.02,1.5527694308071043,0.9237422707301509,-0.36231725833364814,-0.7639206673603965,-0.44153562995669166,-0.908738145886519
SPAC1039.06,1.462608708109479,1.0363638761060487,-0.2248415786434158,-0.8480895948162126,-0.720732201569933,-0.7053092091859662
SPAC1039.10,1.4718143005928772,1.0101231229543879,-0.17747059943059357,-0.8554349262096781,-0.7368141973163455,-0.7122177005906493
SPAC1039.11c,-0.5899790737041517,-1.3043574498664101,-0.7052669517757084,0.512068062773567,1.121417922052211,0.9661174905204926
SPAC105.02c,-0.9218034953735307,-1.1401556663029868,-0.5875410403992356,0.5604238318259486,1.1113363389706101,0.9777400312791942
