,ribo,ribo,ribo,ribo,ribo,ribo
,h0,h1,h3,h5,h7,h10
SPAC1002.01,6.565691271227212,5.433456733698543,6.852792428288336,6.653969938726435,6.230712928862596,2.9850701309680496
SPAC1002.02,6.796725125292677,7.835261203424773,10.411627653334968,6.117458922471006,7.083553838805769,5.6074727467373195
SPAC1002.03c,6.053597224476644,4.6970981129026,5.347599210659555,5.059807426626489,6.694585240368517,3.9282002830870484
SPAC1002.04c,5.131465781802018,5.895041374070128,8.640229686167721,6.468035009651427,7.503325396444088,6.17761782636203
SPAC1002.07c,7.026930727401194,6.422650068711021,10.131114039876465,8.981611141576382,4.554091085140895,5.4863968839542
SPAC1002.08c,2.549217964761278,2.851295451645879,5.415189994432663,4.828989893652239,2.5634577007743014,1.5744339738259616
SPAC1002.09c,9.240766196573002,8.891094107476828,8.994495036834676,7.693819213384911,7.866612390132295,6.0789592394283645
SPAC1002.12c,7.3115223374969105,5.8367246116565505,8.023247185840063,5.7245956017191855,7.111801207046736,7.467824759721912
SPAC1002.13c,8.629356868676695,12.127995842282596,12.683336723568603,5.189722814963842,7.345553793595642,6.88091570489898
SPAC1002.15c,6.425683047820774,5.15594458728057,8.693409608987182,7.05399554530494,5.326501867505633,3.451692920767426
SPAC1002.17c,10.018419227206223,3.4622253565767993,8.780521533809418,11.27344266424139,9.597418515445531,7.916141150803192
SPAC1002.18,6.611156238273557,6.825031657453774,9.360121766974984,6.779662181789354,5.636080597216155,4.726238463935812
SPAC1002.19,10.412755568552983,7.654902117348095,7.843858494598817,10.125904401350146,11.558143470565804,9.497792414655345
SPAC1006.01,10.172415819549713,4.94113514343415,9.437152391126975,12.072312057796998,9.41639470905079,9.34455083596807
SPAC1006.03c,4.706199904083871,6.23030818401695,6.647137253492959,5.011554064635619,5.154188566245559,3.805845651493558
SPAC1006.04c,2.24652240893125,3.9340309282545083,8.092995054618301,9.420960517939028,2.461383933087308,1.0457348285715977
SPAC1006.05c,6.264747109405907,4.378394138655852,7.363952759122295,7.421608833820926,6.411781806305723,5.9465018779581795
SPAC1006.06,3.8572256543373067,4.642723524426113,7.148957715719138,8.887775811675342,5.332259829785562,2.234087044194613
SPAC1006.07,9.978059671940994,13.685607090868926,11.854405797920807,12.524593871435384,11.470414413713707,10.094787228308926
